Namespace(init_path='UniRep/1900_weights', n_layers=1, num_iters=1000, rnn_size=1900, save_dir='1000_iters_hs1900_nl4_pt_nosite', site_loss=True)
Uniprot data had already been processed. Loading from csv
WARNING:tensorflow:From /clusterfs/mhg/sprasad/CTA/geometries/UniRep_finetune_forest/UniRep/unirep.py:113: calling l2_normalize (from tensorflow.python.ops.nn_impl) with dim is deprecated and will be removed in a future version.
Instructions for updating:
dim is deprecated, use axis instead
2020-05-07 14:26:44.388025: E tensorflow/stream_executor/cuda/cuda_driver.cc:300] failed call to cuInit: CUDA_ERROR_NO_DEVICE: no CUDA-capable device is detected
2020-05-07 14:26:44.388100: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:150] kernel driver does not appear to be running on this host (n0071.mhg0): /proc/driver/nvidia/version does not exist
Size of training data: 49839, size of test data: 12460
WARNING:tensorflow:From /global/software/sl-7.x86_64/modules/apps/ml/tensorflow/1.12.0-py36/lib/python3.6/site-packages/tensorflow/python/ops/sparse_ops.py:1165: sparse_to_dense (from tensorflow.python.ops.sparse_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Create a `tf.sparse.SparseTensor` and use `tf.sparse.to_dense` instead.
WARNING:tensorflow:From /clusterfs/mhg/sprasad/CTA/geometries/UniRep_finetune_forest/UniRep/data_utils.py:190: group_by_window (from tensorflow.contrib.data.python.ops.grouping) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.data.experimental.group_by_window(...)`.
START OF TRAINING FOR 1000 ITERATIONS
Iteration 0, loss 2.6234827041625977, site loss 0.9441781044006348
Iteration 1, loss 2.6956725120544434, site loss 0.3234706521034241
Iteration 2, loss 2.7495293617248535, site loss 0.13136926293373108
Iteration 3, loss 2.737977981567383, site loss 0.10215909779071808
Iteration 4, loss 2.7028565406799316, site loss 0.09128598868846893
Iteration 5, loss 2.6815009117126465, site loss 0.0797245129942894
Iteration 6, loss 2.6816484928131104, site loss 0.07365264743566513
Iteration 7, loss 2.641002655029297, site loss 0.07248705625534058
Iteration 8, loss 2.6434550285339355, site loss 0.07293746620416641
Iteration 9, loss 2.6033365726470947, site loss 0.06840811669826508
Iteration 10, loss 2.6162848472595215, site loss 0.06793513149023056
Iteration 11, loss 2.6028428077697754, site loss 0.06849023699760437
Iteration 12, loss 2.571861505508423, site loss 0.064204640686512
Iteration 13, loss 2.5682878494262695, site loss 0.06583704054355621
Iteration 14, loss 2.552097797393799, site loss 0.06781286001205444
Iteration 15, loss 2.49238920211792, site loss 0.06048982962965965
Iteration 16, loss 2.5519423484802246, site loss 0.0610562264919281
Iteration 17, loss 2.4536938667297363, site loss 0.06104360893368721
Iteration 18, loss 2.4553794860839844, site loss 0.06372012197971344
Iteration 19, loss 2.4906563758850098, site loss 0.0644923746585846
Iteration 20, loss 2.472616195678711, site loss 0.05803631991147995
Iteration 21, loss 2.5136632919311523, site loss 0.05812995135784149
Iteration 22, loss 2.442586660385132, site loss 0.058690302073955536
Iteration 23, loss 2.4375360012054443, site loss 0.05245817452669144
Iteration 24, loss 2.456967830657959, site loss 0.0561203770339489
Iteration 25, loss 2.458639144897461, site loss 0.060030192136764526
Iteration 26, loss 2.44671368598938, site loss 0.05976442992687225
Iteration 27, loss 2.4256844520568848, site loss 0.056909285485744476
Iteration 28, loss 2.408620834350586, site loss 0.056215800344944
Iteration 29, loss 2.404109239578247, site loss 0.055636223405599594
Iteration 30, loss 2.4781830310821533, site loss 0.05577049404382706
Iteration 31, loss 2.3709723949432373, site loss 0.052567124366760254
Iteration 32, loss 2.3800954818725586, site loss 0.050674133002758026
Iteration 33, loss 2.4028773307800293, site loss 0.05916871502995491
Iteration 34, loss 2.369373321533203, site loss 0.05386262759566307
Iteration 35, loss 2.343520164489746, site loss 0.055959589779376984
Iteration 36, loss 2.3436148166656494, site loss 0.05245675519108772
Iteration 37, loss 2.355785846710205, site loss 0.057337962090969086
Iteration 38, loss 2.307624101638794, site loss 0.05410977452993393
Iteration 39, loss 2.3221821784973145, site loss 0.05233875662088394
Iteration 40, loss 2.365234851837158, site loss 0.05445051193237305
Iteration 41, loss 2.359689235687256, site loss 0.054369036108255386
Iteration 42, loss 2.2791433334350586, site loss 0.050376810133457184
Iteration 43, loss 2.2550361156463623, site loss 0.04895307496190071
Iteration 44, loss 2.342482328414917, site loss 0.05371161550283432
Iteration 45, loss 2.3191707134246826, site loss 0.052550412714481354
Iteration 46, loss 2.367231845855713, site loss 0.051671966910362244
Iteration 47, loss 2.325249671936035, site loss 0.054074548184871674
Iteration 48, loss 2.345008134841919, site loss 0.056325651705265045
Iteration 49, loss 2.3131134510040283, site loss 0.05035260319709778
Iteration 50, loss 2.289858102798462, site loss 0.04791535809636116
Iteration 51, loss 2.353969097137451, site loss 0.04706968367099762
Iteration 52, loss 2.3280959129333496, site loss 0.05155808478593826
Iteration 53, loss 2.288843870162964, site loss 0.04954783245921135
Iteration 54, loss 2.2811927795410156, site loss 0.04836123064160347
Iteration 55, loss 2.256629467010498, site loss 0.05034869909286499
Iteration 56, loss 2.222917318344116, site loss 0.046065278351306915
Iteration 57, loss 2.3089771270751953, site loss 0.045864537358284
Iteration 58, loss 2.392643928527832, site loss 0.0485374741256237
Iteration 59, loss 2.336228847503662, site loss 0.04936140030622482
Iteration 60, loss 2.3879141807556152, site loss 0.04640558362007141
Iteration 61, loss 2.335653066635132, site loss 0.04825736954808235
Iteration 62, loss 2.30411434173584, site loss 0.051737990230321884
Iteration 63, loss 2.3474669456481934, site loss 0.05452428758144379
Iteration 64, loss 2.370757579803467, site loss 0.05126179754734039
Iteration 65, loss 2.34151029586792, site loss 0.05109040439128876
Iteration 66, loss 2.3448667526245117, site loss 0.05059617757797241
Iteration 67, loss 2.350905418395996, site loss 0.05248164013028145
Iteration 68, loss 2.3516414165496826, site loss 0.0492868535220623
Iteration 69, loss 2.3850760459899902, site loss 0.05373639613389969
