Namespace(init_path='UniRep/1900_weights', n_layers=1, num_iters=1000, rnn_size=1900, save_dir='1000_iters_hs1900_nl4_pt', site_loss=True)
Uniprot data had already been processed. Loading from csv
WARNING:tensorflow:From /clusterfs/mhg/sprasad/CTA/geometries/UniRep_finetune_forest/UniRep/unirep.py:113: calling l2_normalize (from tensorflow.python.ops.nn_impl) with dim is deprecated and will be removed in a future version.
Instructions for updating:
dim is deprecated, use axis instead
2020-05-07 14:24:01.554219: E tensorflow/stream_executor/cuda/cuda_driver.cc:300] failed call to cuInit: CUDA_ERROR_NO_DEVICE: no CUDA-capable device is detected
2020-05-07 14:24:01.554309: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:150] kernel driver does not appear to be running on this host (n0071.mhg0): /proc/driver/nvidia/version does not exist
Size of training data: 49839, size of test data: 12460
WARNING:tensorflow:From /global/software/sl-7.x86_64/modules/apps/ml/tensorflow/1.12.0-py36/lib/python3.6/site-packages/tensorflow/python/ops/sparse_ops.py:1165: sparse_to_dense (from tensorflow.python.ops.sparse_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Create a `tf.sparse.SparseTensor` and use `tf.sparse.to_dense` instead.
WARNING:tensorflow:From /clusterfs/mhg/sprasad/CTA/geometries/UniRep_finetune_forest/UniRep/data_utils.py:190: group_by_window (from tensorflow.contrib.data.python.ops.grouping) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.data.experimental.group_by_window(...)`.
START OF TRAINING FOR 1000 ITERATIONS
Iteration 0, loss 2.5929672718048096, site loss 1.0676860809326172
Iteration 1, loss 2.704669713973999, site loss 0.4435790777206421
Iteration 2, loss 2.713545799255371, site loss 0.16505098342895508
Iteration 3, loss 2.70910382270813, site loss 0.10308222472667694
Iteration 4, loss 2.700969934463501, site loss 0.08681045472621918
Iteration 5, loss 2.6620185375213623, site loss 0.07863403856754303
Iteration 6, loss 2.664238929748535, site loss 0.07171089202165604
Iteration 7, loss 2.635643243789673, site loss 0.07674207538366318
Iteration 8, loss 2.6309428215026855, site loss 0.06643564254045486
Iteration 9, loss 2.615837574005127, site loss 0.06883750855922699
Iteration 10, loss 2.602715253829956, site loss 0.06896961480379105
Iteration 11, loss 2.5798909664154053, site loss 0.06636545062065125
Iteration 12, loss 2.592695713043213, site loss 0.06609219312667847
Iteration 13, loss 2.530251979827881, site loss 0.0660652220249176
Iteration 14, loss 2.546976327896118, site loss 0.06405439972877502
Iteration 15, loss 2.526524066925049, site loss 0.06569451838731766
Iteration 16, loss 2.5072519779205322, site loss 0.06072651222348213
Iteration 17, loss 2.480604648590088, site loss 0.06363058090209961
Iteration 18, loss 2.4677085876464844, site loss 0.06100377440452576
Iteration 19, loss 2.4751791954040527, site loss 0.06011037528514862
Iteration 20, loss 2.4574713706970215, site loss 0.0549372136592865
Iteration 21, loss 2.453951358795166, site loss 0.059868086129426956
Iteration 22, loss 2.467193126678467, site loss 0.05894064903259277
Iteration 23, loss 2.474348545074463, site loss 0.06262984126806259
Iteration 24, loss 2.429335117340088, site loss 0.05833527073264122
Iteration 25, loss 2.4595725536346436, site loss 0.058792177587747574
